Serial_No,Time,FA0,FB0,CAin,CBin,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,01:04:22,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,99.6216,99.6216,0.2678,0.2678,302.9794,293.0291,0.5,0.0
2,01:04:23,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,99.2463,99.2463,0.5326,0.5326,302.9589,293.0566,0.5,0.0
3,01:04:23,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.8742,98.8742,0.7945,0.7945,302.9385,293.0827,0.5,0.0
4,01:04:24,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.5051,98.5051,1.0536,1.0536,302.9183,293.1073,0.5,0.0
5,01:04:25,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.1392,98.1392,1.3099,1.3099,302.8981,293.1307,0.5,0.0
6,01:04:26,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,97.7762,97.7762,1.5634,1.5634,302.8781,293.1527,0.5,0.0
