Serial_No,Time,Fin,Ca0,Cb0,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,0,0.559999333,100,100,333,0,300,0.001,70.38057494514823,70.38057494514823,29.61942505323963,29.61942505323963,333.34726649375176,300.00991432680775,0.2821426303240925,29.61942505485177
2,1,0.559999333,100,100,333,0,300,0.001,56.907422533921135,56.907422533921135,43.092577465258074,43.092577465258074,333.5083757688076,300.0198714455873,0.5614958366982067,43.092577466078865
3,2,0.559999333,100,100,333,0,300,0.001,48.955144871011214,48.955144871011214,51.04485512844178,51.04485512844178,333.6034729460929,300.02983759760446,0.8406595842256002,51.044855128988786
4,3,0.559999333,100,100,333,0,300,0.001,43.6046932470336,43.6046932470336,56.39530675255668,56.39530675255668,333.6674570340027,300.03979914449667,1.1196700508525501,56.3953067529664
5,4,0.559999333,100,100,333,0,300,0.001,39.70330869672124,39.70330869672123,60.29669130295099,60.29669130295099,333.71411247996593,300.04974914234,1.3985481871353331,60.29669130327876
6,5,0.559999333,100,100,333,0,300,0.001,36.70042860082591,36.7004286008259,63.29957139890102,63.29957139890102,333.75002310261186,300.0596835402128,1.6773081425986403,63.29957139917409
7,6,0.559999333,100,100,333,0,300,0.001,34.29800023604854,34.298000236048566,65.70199976371741,65.70199976371741,333.7787531791567,300.06959975505254,1.955960310856359,65.70199976395146
8,7,0.559999333,100,100,333,0,300,0.001,32.31957628373582,32.31957628373583,67.68042371605945,67.68042371605945,333.80241277594354,300.0794960340179,2.2345127481144473,67.68042371626419
9,8,0.559999333,100,100,333,0,300,0.001,30.653450355651792,30.6534503556518,69.34654964416626,69.34654964416626,333.8223377493477,300.089371132392,2.5129719377545783,69.34654964434822
10,9,0.559999333,100,100,333,0,300,0.001,29.22511512928623,29.225115129286237,70.77488487055007,70.77488487055007,333.8394191051024,300.0992241356708,2.7913432444265003,70.77488487071378
11,10,0.559999333,100,100,333,0,300,0.001,27.982759469004545,27.98275946900454,72.01724053084668,72.01724053084668,333.85427643260726,300.1090543542952,3.0696312032327757,72.01724053099545
