Serial_No,Time,Fin,Ca0,Cb0,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,01:55:21,0.02,100.0,100.0,293.0,0.0,293.0,0.01,96.9313826261034,96.9313826261034,3.0686173739364344,3.0686173739364344,293.0366949491868,293.0000539154445,1.0,3.0686173738966005
2,01:55:22,0.02,100.0,100.0,293.0,0.0,293.0,0.01,94.15600778519709,94.15600778519709,5.843992214841167,5.843992214841167,293.0698622516783,293.00020163100106,1.0,5.84399221480291
3,01:55:23,0.02,100.0,100.0,293.0,0.0,293.0,0.01,91.64197425788964,91.64197425788964,8.35802574214712,8.35802574214712,293.09988628519096,293.0004245109772,1.0,8.358025742110357
4,01:55:24,0.02,100.0,100.0,293.0,0.0,293.0,0.01,89.36146519168695,89.36146519168695,10.638534808348371,10.638534808348371,293.1271022417033,293.0007067626802,1.0,10.638534808313054
5,01:55:25,0.02,100.0,100.0,293.0,0.0,293.0,0.01,87.29013026786734,87.29013026786734,12.709869732166599,12.709869732166599,293.1518035588475,293.0010350295026,1.0,12.709869732132658
6,01:55:26,0.02,100.0,100.0,293.0,0.0,293.0,0.01,85.40657590230431,85.40657590230431,14.593424097728294,14.593424097728294,293.1742480532394,293.0013980430058,1.0,14.59342409769569
7,01:55:27,0.02,100.0,100.0,293.0,0.0,293.0,0.01,83.69194224505401,83.69194224505401,16.308057754977327,16.308057754977327,293.1946630106974,293.0017863249197,1.0,16.30805775494599
8,01:55:28,0.02,100.0,100.0,293.0,0.0,293.0,0.01,82.1295503347036,82.1295503347036,17.87044966532651,17.87044966532651,293.2132494332087,293.00219193150957,1.0,17.870449665296405
