Serial_No,Time,Fin,Ca0,Cb0,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,17:14:32.08,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,51.41264102938746,51.41264102938746,48.58735797449854,48.58735797449854,332.785167651102,300.00984188327106,0.002451079318772925,48.58735897061254
2,17:14:32.59,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,34.8662684280569,34.8662684280569,65.13373057617342,65.13373057617342,332.18297155763304,300.0195188544574,0.0024026502196412215,65.1337315719431
3,17:14:33.10,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,26.59433840462799,26.594338404627987,73.40566059995209,73.40566059995209,331.48270978511107,300.028971696807,0.0023547126181875265,73.40566159537201
4,17:14:33.63,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,21.64992015772643,21.649920157726427,78.35007884720943,78.35007884720943,330.74533147187304,300.03818266993267,0.002307266428299261,78.35007984227357
5,17:14:34.13,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,18.369634129852273,18.36963412985227,81.63036487544669,81.63036487544669,329.9916663336373,300.0471449449984,0.0022603115621173645,81.63036587014773
6,17:14:34.63,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,16.03929162212043,16.039291622120427,83.96070738354909,83.96070738354909,329.2308731803652,300.05585588521063,0.002213847929982947,83.96070837787957
7,17:14:35.13,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,14.301892901331753,14.30189290133175,85.698106104716,85.698106104716,328.46769357579177,300.0643148419348,0.002167875440381763,85.69810709866825
8,17:14:35.63,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,12.959315046168184,12.95931504616818,87.04068396026572,87.04068396026572,327.7048944288313,300.07252225345735,0.002122393999886381,87.04068495383181
9,17:14:36.13,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,11.892846405818839,11.892846405818833,88.10715260100937,88.10715260100937,326.9442517909297,300.0804792194152,0.0020774035130959427,88.10715359418116
10,17:14:36.63,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,11.02705409832857,11.027054098328565,88.97294490890239,88.97294490890239,326.187000441897,300.08818727828583,0.0020329038825733746,88.97294590167144
11,17:14:37.13,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,10.311724570385541,10.311724570385534,89.68827443725685,89.68827443725685,325.4340597040542,300.09564828186336,0.0019888950087799243,89.68827542961446
12,17:14:37.62,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,9.71214638242425,9.712146382424242,90.28785262563855,90.28785262563855,324.6861555157587,300.10286432017256,0.0019453767900068715,90.28785361757575
13,17:14:38.14,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,9.203562537625585,9.203562537625578,90.79643647086691,90.79643647086691,323.943890422648,300.10983767442633,0.0019023491223042657,90.79643746237441
14,17:14:38.64,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,8.767845154481561,8.767845154481554,91.2321538544502,91.2321538544502,323.20778568025906,300.11657078644026,0.0018598118994065254,91.23215484551844
15,17:14:39.15,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,8.39141923859232,8.391419238592313,91.60857977078861,91.60857977078861,322.4783076035439,300.1230662381387,0.0018177650126547235,91.60858076140768
16,17:14:39.66,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,8.063920597778003,8.063920597777996,91.93607841206233,91.93607841206233,321.7558846067784,300.1293267374799,0.0017762083509153756,91.93607940222199
17,17:14:40.16,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,7.777302008637493,7.777302008637486,92.22269700167283,92.22269700167283,321.0409185232427,300.13535510858844,0.0017351418004955322,92.22269799136251
18,17:14:40.66,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,7.525222241517797,7.52522224151779,92.47477676927348,92.47477676927348,320.3337922878213,300.1411542847122,0.0016945652450539622,92.4747777584822
