Serial_No,Time,Fin,Ca0,Cb0,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,15:48:52,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,34.8649239447195,34.8649239447195,65.13507417654546,65.13507417654546,332.18298721899606,300.0195188593686,0.0024026502196412215,65.1350760552805
2,15:48:53,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,21.648710543321812,21.648710543321812,78.35128757927416,78.35128757927416,330.74534497155724,300.03818268088236,0.0023072664282992594,78.35128945667819
3,15:48:55,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,16.038548434791668,16.038548434791668,83.96144968918806,83.96144968918806,329.2308805688035,300.0558559019831,0.0022138479299829393,83.96145156520834
4,15:48:56,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,12.958816334063343,12.958816334063343,87.04118179135858,87.04118179135858,327.70489858232975,300.0725222734654,0.0021223939998863614,87.04118366593666
5,15:48:57,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,11.026694883872699,11.026694883872699,88.97330324305302,88.97330324305302,326.18700274687336,300.0881873000627,0.002032903882573341,88.9733051161273
6,15:48:58,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,9.711871372710762,9.711871372710762,90.2881267557844,90.2881267557844,324.6861567133253,300.10286434284876,0.0019453767900068203,90.28812862728924
7,15:48:59,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,8.767624873530218,8.767624873530218,91.2323732566044,91.2323732566044,323.20778617465277,300.11657080948066,0.001859811899406452,91.23237512646978
8,15:49:00,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,8.063738069340062,8.063738069340062,91.93626006250878,91.93626006250878,321.7558846367604,300.1293267605394,0.0017762083509152743,91.93626193065994
9,15:49:01,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,7.525066999974959,7.525066999974959,92.47493113366805,92.47493113366805,320.3337920044443,300.14115430756175,0.001694565245053826,92.47493300002505
10,15:49:02,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,7.105268164774308,7.105268164774308,92.89472997074851,92.89472997074851,318.94452629360495,300.1520773237865,0.001614881639937052,92.8947318352257
11,15:49:03,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.77425799320458,6.77425799320458,93.2257401442899,93.2257401442899,317.5909379009049,300.1621212939833,0.0015371565482258467,93.22574200679541
12,15:49:04,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.511704190178135,6.511704190178135,93.48829394938673,93.48829394938673,316.27578381795263,300.1713132303345,0.001461388933780994,93.48829580982186
13,15:49:05,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.303416799532583,6.303416799532583,93.69658134220892,93.69658134220892,315.00176150481224,300.1796816197546,0.00138757770798247,93.69658320046742
14,15:49:06,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.139237108890054,6.139237108890054,93.86076103514266,93.86076103514266,313.7715201348698,300.18725638437076,0.0013157217256714187,93.86076289110994
15,15:49:07,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.011747088713971,6.011747088713971,93.98825105773373,93.98825105773373,312.58765764088986,300.1940688444056,0.001245819780665449,93.98825291128603
16,15:49:08,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.915450969839596,5.915450969839596,94.08454717915708,94.08454717915708,311.4527077511012,300.2001516763745,0.0011778706007899752,94.0845490301604
17,15:49:09,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.846240129412946,5.846240129412946,94.15375802227807,94.15375802227807,310.36911914353254,300.2055388613571,0.001111872842358895,94.15375987058705
18,15:49:10,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.801034312789989,5.801034312789989,94.19896384175338,94.19896384175338,309.3392278061757,300.21026561906046,0.0010478250840266063,94.19896568721
19,15:49:11,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.777536267605278,5.777536267605278,94.22246188996266,94.22246188996266,308.3652231670534,300.2143683238844,0.0009857258199198007,94.22246373239471
20,15:49:12,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.774061576646306,5.774061576646306,94.2259365841343,94.2259365841343,307.44910832407584,300.21788439948097,0.0009255734519410705,94.2259384233537
21,15:49:13,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.789419861443865,5.789419861443865,94.21057830275545,94.21057830275545,306.5926546551343,300.22085218849,0.0008673662811164666,94.21058013855614
22,15:49:14,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.8228321933533636,5.8228321933533636,94.17716597449092,94.17716597449092,305.7973511787537,300.22331079434156,0.0008111024978348449,94.17716780664664
23,15:49:15,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.873874943891029,5.873874943891029,94.12612322784744,94.12612322784744,305.06434924942295,300.2252998923102,0.0007567801707970067,94.12612505610898
24,15:49:16,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.942443784952158,5.942443784952158,94.05755439095584,94.05755439095584,304.39440350994283,300.2268595074662,0.0007043972344558035,94.05755621504784
25,15:49:17,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.0287338876316054,6.0287338876316054,93.97126429275116,93.97126429275116,303.7878104940361,300.228029757865,0.0006539514746825799,93.9712661123684
26,15:49:18,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.1332340272267425,6.1332340272267425,93.86676415797035,93.86676415797035,303.24434688603236,300.22885056233196,0.0006054405123380408,93.86676597277325
27,15:49:19,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.256733569773212,6.256733569773212,93.74326462061737,93.74326462061737,302.76321020597146,300.2293613136209,0.000558861784353412,93.74326643022678
