Serial_No,Time,FA0,FB0,CAin,CBin,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,20:12:18,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,99.6216,99.6216,0.2678,0.2678,302.9794,293.0291,0.5,0.0
2,20:12:19,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,99.2463,99.2463,0.5326,0.5326,302.9589,293.0566,0.5,0.0
3,20:12:20,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.8742,98.8742,0.7945,0.7945,302.9385,293.0827,0.5,0.0
4,20:12:21,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.5051,98.5051,1.0536,1.0536,302.9183,293.1073,0.5,0.0
