Serial_No,Time,FA0,FB0,CAin,CBin,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,15:51:13,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.496,0.496,99.3044,99.3044,334.182,300.0204,0.499,99.008
2,15:51:14,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.2483,0.2483,99.3528,99.3528,334.1768,300.0406,0.498,99.5033
3,15:51:15,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.1656,0.1656,99.2367,99.2367,334.1695,300.0608,0.497,99.6688
4,15:51:16,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.1242,0.1242,99.0796,99.0796,334.1618,300.0808,0.496,99.7515
5,15:51:17,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.0994,0.0994,98.9064,98.9064,334.1539,300.1008,0.495,99.8011
6,15:51:18,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.0829,0.0829,98.7253,98.7253,334.1458,300.1206,0.494,99.8342
7,15:51:19,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.0711,0.0711,98.5398,98.5398,334.1377,300.1403,0.4931,99.8578
8,15:51:20,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.0623,0.0623,98.3518,98.3518,334.1296,300.1598,0.4921,99.8754
9,15:51:21,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.0554,0.0554,98.1622,98.1622,334.1214,300.1793,0.4911,99.8891
10,15:51:22,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.05,0.05,97.9716,97.9716,334.1132,300.1986,0.4901,99.9001
11,15:51:23,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.0455,0.0455,97.7804,97.7804,334.105,300.2179,0.4891,99.909
12,15:51:24,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.0418,0.0418,97.5888,97.5888,334.0967,300.237,0.4882,99.9165
13,15:51:25,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.0386,0.0386,97.397,97.397,334.0884,300.256,0.4872,99.9227
14,15:51:26,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.036,0.036,97.2052,97.2052,334.0802,300.2749,0.4862,99.9281
15,15:51:27,8.335e-07,8.335e-07,100.0,100.0,333.0,0.0,300.0,0.001,0.0336,0.0336,97.0134,97.0134,334.0719,300.2937,0.4852,99.9327
