1,23:21:26,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,49.92084407442668,49.92084407442668,0.07915592557331896,0.07915592557331896,303.00094521310376,303.0000007412592,0.16670001234074244,0.15831185114661972,2.78e-06,50.0,3.2e-05,0.079075
2,23:21:27,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,49.84202561937839,49.84202561937839,0.1579743806216099,0.1579743806216099,303.00188315281366,303.00000154811454,0.16670002467463269,0.31594876124320104,2.78e-06,50.0,3.2e-05,0.078826
3,23:21:28,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,49.76354280843168,49.76354280843168,0.23645719156832334,0.23645719156832334,303.0028138695222,303.0000023495536,0.16670003700167446,0.4729143831366245,2.78e-06,50.0,3.2e-05,0.078578
4,23:21:29,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,49.685393827876446,49.685393827876446,0.3146061721235585,0.3146061721235585,303.0037374132438,303.0000031448191,0.16670004932187166,0.6292123442470987,2.78e-06,50.0,3.2e-05,0.078332
5,23:21:30,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,49.60757687660563,49.60757687660563,0.3924231233943707,0.3924231233943707,303.00465383363917,303.0000039339511,0.166700061635228,0.7848462467887285,2.78e-06,50.0,3.2e-05,0.078087
6,23:21:31,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,49.53009016600606,49.53009016600606,0.46990983399393355,0.46990983399393355,303.0055631800179,303.0000047169922,0.1667000739417473,0.9398196679878623,2.78e-06,50.0,3.2e-05,0.077844
7,23:21:32,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,49.45293191985042,49.45293191985042,0.5470680801495683,0.5470680801495683,303.0064655013415,303.00000549398436,0.16670008624143337,1.0941361602991417,2.78e-06,50.0,3.2e-05,0.077602
8,23:21:33,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,49.37610037419034,49.37610037419034,0.6238996258096541,0.6238996258096541,303.00736084622616,303.00000626496956,0.16670009853429002,1.2477992516193082,2.78e-06,50.0,3.2e-05,0.077362
9,23:21:34,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,49.29959377725056,49.29959377725056,0.700406222749431,0.700406222749431,303.00824926294524,303.00000702998926,0.16670011082032105,1.4008124454988669,2.78e-06,50.0,3.2e-05,0.077123
10,23:21:35,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,49.22341038932427,49.22341038932427,0.7765896106757125,0.7765896106757125,303.0091307994318,303.00000778908486,0.1667001230995302,1.5531792213514417,2.78e-06,50.0,3.2e-05,0.076885
11,23:21:36,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,49.14754848266947,49.14754848266947,0.8524515173305168,0.8524515173305168,303.0100055032815,303.0000085422973,0.1667001353719213,1.7049030346610428,2.78e-06,50.0,3.2e-05,0.076649
12,23:21:37,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,49.07200634140636,49.07200634140636,0.9279936585936326,0.9279936585936326,303.0108734217551,303.0000092896672,0.1667001476374981,1.8559873171872687,2.78e-06,50.0,3.2e-05,0.076414
13,23:21:38,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,48.99678226141585,48.99678226141585,1.0032177385841303,1.0032177385841303,303.0117346017809,303.00001003123504,0.1667001598962644,2.006435477168278,2.78e-06,50.0,3.2e-05,0.07618
14,23:21:39,1.388888e-06,1.388888e-06,100.0,100.0,303.0,0.0,303.0,0.01,48.92187455023915,48.92187455023915,1.0781254497608335,1.0781254497608335,303.01258908995754,303.000010767041,0.16670017214822402,2.1562508995216834,2.78e-06,50.0,3.2e-05,0.075948
