Serial_No,Time,Fa,Fb,Ca_feed,Cb_feed,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa,Fin,Ca0_eff,k_f,rate_net
1,00:23:17,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.920842853375724,49.920842853375724,0.07915714662428011,0.07915714662428011,303.00294279374265,293.00876251981026,0.16670001234074244,0.1583142932485404,2.78e-06,50.0,3.2e-05,0.079076
2,00:23:18,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.84202362505021,49.84202362505021,0.15797637494979055,0.15797637494979055,303.0027876001117,293.0086079531591,0.16670002467463266,0.3159527498995618,2.78e-06,50.0,3.2e-05,0.078826
3,00:23:19,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.76354063009674,49.76354063009674,0.23645936990325928,0.23645936990325928,303.00263009392245,293.00860730567877,0.16670003700167446,0.4729187398065049,2.78e-06,50.0,3.2e-05,0.078578
4,00:23:20,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.685392045973956,49.685392045973956,0.31460795402604513,0.31460795402604513,303.0024703503003,293.0086071673379,0.1667000493218716,0.6292159080520721,2.78e-06,50.0,3.2e-05,0.078331
5,00:23:21,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.6075760628563,49.6075760628563,0.3924239371437005,0.3924239371437005,303.0023083967422,293.008607028145,0.16670006163522794,0.7848478742873755,2.78e-06,50.0,3.2e-05,0.078086
6,00:23:22,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.53009088352562,49.53009088352562,0.4699091164743865,0.4699091164743865,303.0021442603366,293.00860688707314,0.16670007394174724,0.9398182329487526,2.78e-06,50.0,3.2e-05,0.077842
7,00:23:23,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.45293472326159,49.45293472326159,0.5470652767384119,0.5470652767384119,303.0019779679232,293.00860674414406,0.16670008624143332,1.094130553476802,2.78e-06,50.0,3.2e-05,0.0776
8,00:23:24,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.37610580973337,49.37610580973337,0.6238941902666397,0.6238941902666397,303.00180954609556,293.00860659938047,0.16670009853428996,1.2477883805332546,2.78e-06,50.0,3.2e-05,0.077359
9,00:23:25,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.299602382892246,49.299602382892246,0.7003976171077658,0.7003976171077658,303.00163902120323,293.0086064528052,0.16670011082032096,1.4007952342154906,2.78e-06,50.0,3.2e-05,0.077119
10,00:23:26,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.223422694865526,49.223422694865526,0.7765773051344838,0.7765773051344838,303.0014664193541,293.0086063044407,0.1667001230995301,1.5531546102689364,2.78e-06,50.0,3.2e-05,0.076881
11,00:23:27,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.14756500985146,49.14756500985146,0.85243499014855,0.85243499014855,303.0012917664164,293.00860615430923,0.16670013537192122,1.7048699802970635,2.78e-06,50.0,3.2e-05,0.076644
12,00:23:28,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.07202760401525,49.07202760401525,0.9279723959847613,0.9279723959847613,303.0011150880211,293.0086060024329,0.16670014763749802,1.8559447919694883,2.78e-06,50.0,3.2e-05,0.076409
13,00:23:29,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.99680876538615,48.99680876538615,1.0031912346138598,1.0031912346138598,303.0009364095639,293.0086058488335,0.16670015989626433,2.0063824692276855,2.78e-06,50.0,3.2e-05,0.076175
14,00:23:30,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.92190679375563,48.92190679375563,1.0780932062443747,1.0780932062443747,303.0007557562074,293.0086056935328,0.16670017214822394,2.1561864124887253,2.78e-06,50.0,3.2e-05,0.075942
15,00:23:31,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.84732000057659,48.84732000057659,1.152679999423418,1.152679999423418,303.0005731528832,293.0086055365522,0.16670018439338063,2.305359998846812,2.78e-06,50.0,3.2e-05,0.07571
16,00:23:32,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.77304670886356,48.77304670886356,1.2269532911364436,1.2269532911364436,303.00038862429386,293.008605377913,0.16670019663173816,2.453906582272869,2.78e-06,50.0,3.2e-05,0.07548
17,00:23:33,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.69908525309402,48.69908525309402,1.300914746905983,1.300914746905983,303.00020219491535,293.00860521763633,0.16670020886330028,2.601829493811947,2.78e-06,50.0,3.2e-05,0.075251
18,00:23:34,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.62543397911063,48.62543397911063,1.3745660208893702,1.3745660208893702,303.00001388899864,293.008605055743,0.1667002210880708,2.7491320417787235,2.78e-06,50.0,3.2e-05,0.075024
