Serial_No,Time,FA0,FB0,CAin,CBin,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,16:19:14,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,88.8141,88.8141,11.296,11.296,303.1326,293.006,0.5011,0.0
2,16:19:14,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,79.8439,79.8439,20.376,20.376,303.2383,293.012,0.5022,0.0
3,16:19:15,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,72.501,72.501,27.8285,27.8285,303.3244,293.0181,0.5033,0.0
4,16:19:16,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,66.3864,66.3864,34.0524,34.0524,303.3956,293.0242,0.5044,0.0
5,16:19:17,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,61.2205,61.2205,39.3274,39.3274,303.4553,293.0303,0.5055,0.0
6,16:19:19,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,56.8019,56.8019,43.8548,43.8548,303.5059,293.0364,0.5066,0.0
7,16:19:20,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,52.982,52.982,47.7834,47.7834,303.5493,293.0424,0.5077,0.0
8,16:19:21,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,49.6488,49.6488,51.225,51.225,303.5868,293.0485,0.5089,0.7025
9,16:19:22,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,46.7163,46.7163,54.2656,54.2656,303.6194,293.0546,0.51,6.5673
10,16:19:23,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,44.1178,44.1178,56.972,56.972,303.6479,293.0606,0.5111,11.7644
11,16:19:24,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,41.8002,41.8002,59.3973,59.3973,303.673,293.0666,0.5122,16.3996
12,16:19:25,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,39.7212,39.7212,61.5837,61.5837,303.6952,293.0726,0.5133,20.5576
13,16:19:26,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,37.8465,37.8465,63.5656,63.5656,303.7149,293.0786,0.5144,24.307
14,16:19:27,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,36.148,36.148,65.371,65.371,303.7325,293.0845,0.5155,27.704
15,16:19:28,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,34.6026,34.6026,67.0232,67.0232,303.7482,293.0905,0.5166,30.7949
16,16:19:29,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,33.1908,33.1908,68.5415,68.5415,303.7622,293.0964,0.5177,33.6184
17,16:19:30,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,31.8966,31.8966,69.942,69.942,303.7749,293.1023,0.5188,36.2069
18,16:19:31,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,30.7061,30.7061,71.2385,71.2385,303.7863,293.1081,0.5199,38.5878
19,16:19:32,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,29.6078,29.6078,72.4426,72.4426,303.7965,293.114,0.521,40.7844
20,16:19:33,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,28.5916,28.5916,73.5644,73.5644,303.8058,293.1198,0.5221,42.8168
21,16:19:34,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,27.6489,27.6489,74.6124,74.6124,303.8142,293.1256,0.5232,44.7022
22,16:19:35,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,26.7723,26.7723,75.5941,75.5941,303.8218,293.1313,0.5244,46.4554
23,16:19:36,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,25.9553,25.9553,76.516,76.516,303.8286,293.137,0.5255,48.0894
24,16:19:37,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,25.1922,25.1922,77.3838,77.3838,303.8348,293.1427,0.5266,49.6156
25,16:19:38,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,24.4781,24.4781,78.2024,78.2024,303.8404,293.1484,0.5277,51.0438
26,16:19:39,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,23.8085,23.8085,78.9762,78.9762,303.8455,293.154,0.5288,52.383
27,16:19:40,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,23.1796,23.1796,79.7091,79.7091,303.8501,293.1596,0.5299,53.6408
28,16:19:41,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,22.5879,22.5879,80.4046,80.4046,303.8542,293.1652,0.531,54.8242
29,16:19:42,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,22.0304,22.0304,81.0657,81.0657,303.8579,293.1708,0.5321,55.9392
30,16:19:43,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,21.5043,21.5043,81.6951,81.6951,303.8613,293.1763,0.5332,56.9914
31,16:19:44,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,21.0071,21.0071,82.2954,82.2954,303.8643,293.1818,0.5343,57.9857
32,16:19:45,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,20.5367,20.5367,82.8687,82.8687,303.8669,293.1873,0.5354,58.9266
33,16:19:46,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,20.0911,20.0911,83.4171,83.4171,303.8693,293.1927,0.5365,59.8179
34,16:19:47,0.000556,0.000556,100.0,100.0,303.0,0.0,293.0,0.001,19.6683,19.6683,83.9423,83.9423,303.8714,293.1981,0.5376,60.6633
