Serial_No,Time,Fa,Fb,Ca_feed,Cb_feed,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa,Fin,Ca0_eff,k_f,rate_net
12,23:40:51,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.07202760401525,49.07202760401525,0.9279723959847613,0.9279723959847613,303.0011150880211,293.0086060024329,0.16670014763749802,1.8559447919694883,2.78e-06,50.0,3.2e-05,0.076409
13,23:40:52,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.99680876538615,48.99680876538615,1.0031912346138598,1.0031912346138598,303.0009364095639,293.0086058488335,0.16670015989626433,2.0063824692276855,2.78e-06,50.0,3.2e-05,0.076175
14,23:40:53,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.92190679375563,48.92190679375563,1.0780932062443747,1.0780932062443747,303.0007557562074,293.0086056935328,0.16670017214822394,2.1561864124887253,2.78e-06,50.0,3.2e-05,0.075942
15,23:40:54,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.84732000057659,48.84732000057659,1.152679999423418,1.152679999423418,303.0005731528832,293.0086055365522,0.16670018439338063,2.305359998846812,2.78e-06,50.0,3.2e-05,0.07571
16,23:40:55,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.77304670886356,48.77304670886356,1.2269532911364436,1.2269532911364436,303.00038862429386,293.008605377913,0.16670019663173816,2.453906582272869,2.78e-06,50.0,3.2e-05,0.07548
17,23:40:56,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.69908525309402,48.69908525309402,1.300914746905983,1.300914746905983,303.00020219491535,293.00860521763633,0.16670020886330028,2.601829493811947,2.78e-06,50.0,3.2e-05,0.075251
18,23:40:57,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.62543397911063,48.62543397911063,1.3745660208893702,1.3745660208893702,303.00001388899864,293.008605055743,0.1667002210880708,2.7491320417787235,2.78e-06,50.0,3.2e-05,0.075024
19,23:40:58,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.55209124402454,48.55209124402454,1.447908755975467,1.447908755975467,302.999823730572,293.0086048922537,0.16670023330605352,2.8958175119509044,2.78e-06,50.0,3.2e-05,0.074797
20,23:40:59,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.4790554161196,48.4790554161196,1.5209445838804034,1.5209445838804034,302.99963174344305,293.00860472718887,0.16670024551725215,3.0418891677607918,2.78e-06,50.0,3.2e-05,0.074573
21,23:41:00,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.406324874757665,48.406324874757665,1.5936751252423385,1.5936751252423385,302.9994379512004,293.00860456056904,0.1667002577216705,3.187350250484655,2.78e-06,50.0,3.2e-05,0.074349
22,23:41:01,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.33389801028474,48.33389801028474,1.6661019897152611,1.6661019897152611,302.999242377216,293.0086043924142,0.16670026991931228,3.3322039794305036,2.78e-06,50.0,3.2e-05,0.074126
23,23:41:02,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.26177322393817,48.26177322393817,1.738226776061837,1.738226776061837,302.9990450446469,293.00860422274434,0.1667002821101813,3.4764535521236484,2.78e-06,50.0,3.2e-05,0.073905
