Serial_No,Time,FA0,FB0,CAin,CBin,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,15:56:08,0.01,0.01,100,100,293,0,293,0.01,1.0542,1.0542,100.707,100.707,332.6142,299.6782,0.519,97.8916
2,15:56:09,0.01,0.01,100,100,293,0,293,0.01,1.0319,1.0319,102.4165,102.4165,331.1581,299.3713,0.5379,97.9361
3,15:56:09,0.01,0.01,100,100,293,0,293,0.01,1.048,1.048,104.019,104.019,329.8034,299.0788,0.5568,97.904
4,15:56:09,0.01,0.01,100,100,293,0,293,0.01,1.0639,1.0639,105.5576,105.5576,328.5404,298.8,0.5757,97.8723
5,15:56:10,0.01,0.01,100,100,293,0,293,0.01,1.0786,1.0786,107.0374,107.0374,327.3599,298.5342,0.5945,97.8428
6,15:56:11,0.01,0.01,100,100,293,0,293,0.01,1.0923,1.0923,108.462,108.462,326.2542,298.2808,0.6133,97.8154
7,15:56:12,0.01,0.01,100,100,293,0,293,0.01,1.105,1.105,109.8349,109.8349,325.2164,298.0394,0.6321,97.79
8,15:56:13,0.01,0.01,100,100,293,0,293,0.01,1.1168,1.1168,111.1591,111.1591,324.2405,297.8092,0.6508,97.7664
9,15:56:14,0.01,0.01,100,100,293,0,293,0.01,1.1277,1.1277,112.4373,112.4373,323.321,297.5899,0.6695,97.7446
10,15:56:15,0.01,0.01,100,100,293,0,293,0.01,1.1378,1.1378,113.6722,113.6722,322.4533,297.3808,0.6881,97.7244
11,15:56:16,0.01,0.01,100,100,293,0,293,0.01,1.1472,1.1472,114.866,114.866,321.6331,297.1816,0.7067,97.7056
12,15:56:17,0.01,0.01,100,100,293,0,293,0.01,1.1559,1.1559,116.0209,116.0209,320.8565,296.9917,0.7253,97.6883
13,15:56:18,0.01,0.01,100,100,293,0,293,0.01,1.1639,1.1639,117.139,117.139,320.1202,296.8108,0.7438,97.6722
14,15:56:19,0.01,0.01,100,100,293,0,293,0.01,1.1713,1.1713,118.2219,118.2219,319.4213,296.6384,0.7623,97.6574
15,15:56:20,0.01,0.01,100,100,293,0,293,0.01,1.1781,1.1781,119.2714,119.2714,318.7568,296.474,0.7808,97.6437
