Serial_No,Time,FA0,FB0,CAin,CBin,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,16:36:23,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,99.6216,99.6216,0.2678,0.2678,302.9794,293.0291,0.5,0.0
2,16:36:24,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,99.2463,99.2463,0.5326,0.5326,302.9589,293.0566,0.5,0.0
3,16:36:25,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.8742,98.8742,0.7945,0.7945,302.9385,293.0827,0.5,0.0
4,16:36:26,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.5051,98.5051,1.0536,1.0536,302.9183,293.1073,0.5,0.0
5,16:36:27,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.1392,98.1392,1.3099,1.3099,302.8981,293.1307,0.5,0.0
6,16:36:28,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,97.7762,97.7762,1.5634,1.5634,302.8781,293.1527,0.5,0.0
7,16:36:29,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,97.4162,97.4162,1.8142,1.8142,302.8583,293.1736,0.5,0.0
8,16:36:30,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,97.0592,97.0592,2.0622,2.0622,302.8385,293.1933,0.5,0.0
9,16:36:31,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,96.7051,96.7051,2.3076,2.3076,302.8188,293.2119,0.5,0.0
10,16:36:32,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,96.3538,96.3538,2.5504,2.5504,302.7993,293.2296,0.5,0.0
11,16:36:33,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,96.0054,96.0054,2.7905,2.7905,302.7799,293.2462,0.5,0.0
12,16:36:34,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,95.6599,95.6599,3.0281,3.0281,302.7605,293.262,0.5,0.0
13,16:36:35,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,95.3171,95.3171,3.2631,3.2631,302.7413,293.2769,0.5,0.0
14,16:36:36,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,94.977,94.977,3.4956,3.4956,302.7222,293.2909,0.5,0.0
15,16:36:37,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,94.6397,94.6397,3.7256,3.7256,302.7031,293.3042,0.5,0.0
16,16:36:38,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,94.305,94.305,3.9532,3.9532,302.6842,293.3167,0.5,0.0
17,16:36:39,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,93.973,93.973,4.1784,4.1784,302.6653,293.3285,0.5,0.0
18,16:36:40,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,93.6437,93.6437,4.4012,4.4012,302.6466,293.3397,0.5,0.0
19,16:36:41,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,93.3169,93.3169,4.6216,4.6216,302.6279,293.3502,0.5,0.0
20,16:36:42,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,92.9927,92.9927,4.8397,4.8397,302.6093,293.3602,0.5,0.0
21,16:36:43,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,92.6711,92.6711,5.0555,5.0555,302.5909,293.3695,0.5,0.0
22,16:36:44,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,92.3519,92.3519,5.269,5.269,302.5725,293.3784,0.5,0.0
23,16:36:45,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,92.0352,92.0352,5.4802,5.4802,302.5541,293.3867,0.5,0.0
24,16:36:46,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,91.721,91.721,5.6893,5.6893,302.5359,293.3945,0.5,0.0
25,16:36:47,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,91.4093,91.4093,5.8961,5.8961,302.5177,293.4019,0.5,0.0
26,16:36:48,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,91.0999,91.0999,6.1008,6.1008,302.4997,293.4089,0.5001,0.0
27,16:36:49,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,90.7929,90.7929,6.3033,6.3033,302.4817,293.4154,0.5001,0.0
28,16:36:50,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,90.4882,90.4882,6.5037,6.5037,302.4637,293.4216,0.5001,0.0
29,16:36:51,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,90.1859,90.1859,6.702,6.702,302.4459,293.4273,0.5001,0.0
30,16:36:52,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,89.8859,89.8859,6.8982,6.8982,302.4281,293.4328,0.5001,0.0
31,16:36:53,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,89.5882,89.5882,7.0924,7.0924,302.4105,293.4379,0.5001,0.0
32,16:36:54,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,89.2927,89.2927,7.2845,7.2845,302.3928,293.4426,0.5001,0.0
33,16:36:55,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,88.9994,88.9994,7.4747,7.4747,302.3753,293.4471,0.5001,0.0
34,16:36:56,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,88.7084,88.7084,7.6629,7.6629,302.3578,293.4513,0.5001,0.0
35,16:36:57,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,88.4195,88.4195,7.8491,7.8491,302.3404,293.4553,0.5001,0.0
36,16:36:58,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,88.1328,88.1328,8.0334,8.0334,302.3231,293.4589,0.5001,0.0
37,16:36:59,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,87.8482,87.8482,8.2158,8.2158,302.3058,293.4624,0.5001,0.0
38,16:37:00,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,87.5658,87.5658,8.3963,8.3963,302.2887,293.4656,0.5001,0.0
39,16:37:01,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,87.2854,87.2854,8.5749,8.5749,302.2715,293.4686,0.5001,0.0
40,16:37:02,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,87.0071,87.0071,8.7517,8.7517,302.2545,293.4714,0.5001,0.0
41,16:37:03,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,86.7309,86.7309,8.9266,8.9266,302.2375,293.474,0.5001,0.0
42,16:37:04,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,86.4566,86.4566,9.0998,9.0998,302.2206,293.4764,0.5001,0.0
43,16:37:05,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,86.1844,86.1844,9.2712,9.2712,302.2038,293.4786,0.5001,0.0
44,16:37:06,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,85.9142,85.9142,9.4408,9.4408,302.187,293.4807,0.5001,0.0
45,16:37:07,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,85.646,85.646,9.6086,9.6086,302.1703,293.4826,0.5001,0.0
46,16:37:08,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,85.3797,85.3797,9.7747,9.7747,302.1536,293.4844,0.5001,0.0
47,16:37:09,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,85.1153,85.1153,9.9392,9.9392,302.137,293.486,0.5001,0.0
48,16:37:10,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,84.8529,84.8529,10.1019,10.1019,302.1205,293.4875,0.5001,0.0
49,16:37:11,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,84.5923,84.5923,10.2629,10.2629,302.1041,293.4889,0.5001,0.0
50,16:37:12,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,84.3336,84.3336,10.4224,10.4224,302.0877,293.4902,0.5001,0.0
51,16:37:13,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,84.0768,84.0768,10.5801,10.5801,302.0713,293.4913,0.5001,0.0
52,16:37:14,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,83.8218,83.8218,10.7363,10.7363,302.0551,293.4924,0.5001,0.0
53,16:37:16,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,83.5686,83.5686,10.8908,10.8908,302.0389,293.4933,0.5001,0.0
54,16:37:17,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,83.3172,83.3172,11.0438,11.0438,302.0227,293.4941,0.5001,0.0
55,16:37:18,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,83.0676,83.0676,11.1952,11.1952,302.0066,293.4949,0.5001,0.0
56,16:37:19,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,82.8197,82.8197,11.3451,11.3451,301.9906,293.4956,0.5001,0.0
57,16:37:20,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,82.5736,82.5736,11.4934,11.4934,301.9747,293.4961,0.5001,0.0
58,16:37:21,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,82.3293,82.3293,11.6403,11.6403,301.9588,293.4967,0.5001,0.0
59,16:37:22,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,82.0866,82.0866,11.7856,11.7856,301.9429,293.4971,0.5001,0.0
60,16:37:23,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,81.8457,81.8457,11.9294,11.9294,301.9272,293.4975,0.5001,0.0
61,16:37:24,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,81.6064,81.6064,12.0718,12.0718,301.9114,293.4978,0.5001,0.0
62,16:37:25,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,81.3688,81.3688,12.2127,12.2127,301.8958,293.498,0.5001,0.0
63,16:37:26,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,81.1329,81.1329,12.3522,12.3522,301.8802,293.4982,0.5001,0.0
64,16:37:27,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,80.8985,80.8985,12.4903,12.4903,301.8646,293.4983,0.5001,0.0
65,16:37:28,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,80.6658,80.6658,12.6269,12.6269,301.8492,293.4984,0.5001,0.0
66,16:37:29,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,80.4347,80.4347,12.7622,12.7622,301.8337,293.4984,0.5001,0.0
67,16:37:30,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,80.2052,80.2052,12.8961,12.8961,301.8184,293.4984,0.5001,0.0
68,16:37:31,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,79.9773,79.9773,13.0286,13.0286,301.8031,293.4983,0.5001,0.0
69,16:37:32,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,79.7509,79.7509,13.1598,13.1598,301.7878,293.4982,0.5001,0.0
70,16:37:33,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,79.5261,79.5261,13.2897,13.2897,301.7726,293.4981,0.5001,0.0
