Serial_No,Time,Fin,Ca0,Cb0,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,17:24:16,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,34.8649239447195,34.8649239447195,65.13507417654546,65.13507417654546,332.18298721899606,300.0195188593686,0.0024026502196412215,65.1350760552805
2,17:24:17,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,21.648710543321812,21.648710543321812,78.35128757927416,78.35128757927416,330.74534497155724,300.03818268088236,0.0023072664282992594,78.35128945667819
3,17:24:18,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,16.038548434791668,16.038548434791668,83.96144968918806,83.96144968918806,329.2308805688035,300.0558559019831,0.0022138479299829393,83.96145156520834
4,17:24:19,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,12.958816334063343,12.958816334063343,87.04118179135858,87.04118179135858,327.70489858232975,300.0725222734654,0.0021223939998863614,87.04118366593666
5,17:24:20,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,11.026694883872699,11.026694883872699,88.97330324305302,88.97330324305302,326.18700274687336,300.0881873000627,0.002032903882573341,88.9733051161273
6,17:24:21,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,9.711871372710762,9.711871372710762,90.2881267557844,90.2881267557844,324.6861567133253,300.10286434284876,0.0019453767900068203,90.28812862728924
7,17:24:22,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,8.767624873530218,8.767624873530218,91.2323732566044,91.2323732566044,323.20778617465277,300.11657080948066,0.001859811899406452,91.23237512646978
8,17:24:23,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,8.063738069340062,8.063738069340062,91.93626006250878,91.93626006250878,321.7558846367604,300.1293267605394,0.0017762083509152743,91.93626193065994
9,17:24:24,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,7.525066999974959,7.525066999974959,92.47493113366805,92.47493113366805,320.3337920044443,300.14115430756175,0.001694565245053826,92.47493300002505
10,17:24:25,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,7.105268164774308,7.105268164774308,92.89472997074851,92.89472997074851,318.94452629360495,300.1520773237865,0.001614881639937052,92.8947318352257
11,17:24:26,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.77425799320458,6.77425799320458,93.2257401442899,93.2257401442899,317.5909379009049,300.1621212939833,0.0015371565482258467,93.22574200679541
12,17:24:27,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.511704190178135,6.511704190178135,93.48829394938673,93.48829394938673,316.27578381795263,300.1713132303345,0.001461388933780994,93.48829580982186
13,17:24:28,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.303416799532583,6.303416799532583,93.69658134220892,93.69658134220892,315.00176150481224,300.1796816197546,0.00138757770798247,93.69658320046742
14,17:24:29,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.139237108890054,6.139237108890054,93.86076103514266,93.86076103514266,313.7715201348698,300.18725638437076,0.0013157217256714187,93.86076289110994
15,17:24:30,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.011747088713971,6.011747088713971,93.98825105773373,93.98825105773373,312.58765764088986,300.1940688444056,0.001245819780665449,93.98825291128603
16,17:24:31,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.915450969839596,5.915450969839596,94.08454717915708,94.08454717915708,311.4527077511012,300.2001516763745,0.0011778706007899752,94.0845490301604
17,17:24:32,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.846240129412946,5.846240129412946,94.15375802227807,94.15375802227807,310.36911914353254,300.2055388613571,0.001111872842358895,94.15375987058705
18,17:24:33,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.801034312789989,5.801034312789989,94.19896384175338,94.19896384175338,309.3392278061757,300.21026561906046,0.0010478250840266063,94.19896568721
19,17:24:34,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.777536267605278,5.777536267605278,94.22246188996266,94.22246188996266,308.3652231670534,300.2143683238844,0.0009857258199198007,94.22246373239471
20,17:24:35,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.774061576646306,5.774061576646306,94.2259365841343,94.2259365841343,307.44910832407584,300.21788439948097,0.0009255734519410705,94.2259384233537
21,17:24:36,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.789419861443865,5.789419861443865,94.21057830275545,94.21057830275545,306.5926546551343,300.22085218849,0.0008673662811164666,94.21058013855614
22,17:24:37,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.8228321933533636,5.8228321933533636,94.17716597449092,94.17716597449092,305.7973511787537,300.22331079434156,0.0008111024978348449,94.17716780664664
23,17:24:38,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.873874943891029,5.873874943891029,94.12612322784744,94.12612322784744,305.06434924942295,300.2252998923102,0.0007567801707970067,94.12612505610898
24,17:24:39,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,5.942443784952158,5.942443784952158,94.05755439095584,94.05755439095584,304.39440350994283,300.2268595074662,0.0007043972344558035,94.05755621504784
25,17:24:40,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.0287338876316054,6.0287338876316054,93.97126429275116,93.97126429275116,303.7878104940361,300.228029757865,0.0006539514746825799,93.9712661123684
26,17:24:41,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.1332340272267425,6.1332340272267425,93.86676415797035,93.86676415797035,303.24434688603236,300.22885056233196,0.0006054405123380408,93.86676597277325
27,17:24:42,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.256733569773212,6.256733569773212,93.74326462061737,93.74326462061737,302.76321020597146,300.2293613136209,0.000558861784353412,93.74326643022678
28,17:24:43,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.400342384723087,6.400342384723087,93.59965581128607,93.59965581128607,302.34296559040473,300.2296005196338,0.000514212521836071,93.59965761527691
29,17:24:44,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.565524741928926,6.565524741928926,93.43447346017747,93.43447346017747,301.98150334963765,300.22960541785966,0.0004714897245964257,93.43447525807107
30,17:24:45,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.754149331760713,6.754149331760713,93.2458488769844,93.2458488769844,301.6760130293287,300.22941157126957,0.000430690131341219,93.24585066823929
31,17:24:46,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,6.968558820825956,6.968558820825956,93.0314393951735,93.0314393951735,301.4229806561538,300.2290524575649,0.00039181018458084207,93.03144117917404
32,17:24:47,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,7.211663974067166,7.211663974067166,92.78833424989043,92.78833424989043,301.2182164875643,300.22855906780967,0.0003548459890381232,92.78833602593284
33,17:24:48,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,7.487069542962239,7.487069542962239,92.51292868976273,92.51292868976273,301.0569205916346,300.227959534796,0.0003197932619999705,92.51293045703775
34,17:24:49,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,7.799242141263176,7.799242141263176,92.20075610116571,92.20075610116571,300.9337925137303,300.2272788154945,0.000286647273587436,92.20075785873682
35,17:24:50,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,8.153734669042066,8.153734669042066,91.84626358418218,91.84626358418218,300.843188604096,300.22653845483165,0.00025540277428500276,91.84626533095793
36,17:24:51,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,8.557488240799582,8.557488240799582,91.44251002450179,91.44251002450179,300.77932573594967,300.22575645868744,0.0002260539061931926,91.44251175920041
37,17:24:52,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,9.019242222014967,9.019242222014967,90.98075605688148,90.98075605688148,300.73652277914306,300.2249473010249,0.00019859409323997953,90.98075777798503
38,17:24:53,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,9.550097859287735,9.550097859287735,90.44990043501817,90.44990043501817,300.70946150555454,300.22412208197596,0.00017301590383724257,90.44990214071227
39,17:24:54,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,10.164304418598405,10.164304418598405,89.835693893308,89.835693893308,300.69343787115946,300.2232888394804,0.00014931087693466761,89.8356955814016
40,17:24:55,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,10.880374361005913,10.880374361005913,89.11962397117716,89.11962397117716,300.6845657861189,300.2224529968948,0.00012746929868349163,89.11962563899408
41,17:24:56,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,11.722695596126995,11.722695596126995,88.27730275964305,88.27730275964305,300.67989333755185,300.22161790537547,0.00010747991128743929,88.277304403873
42,17:24:57,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,12.723911201588493,12.723911201588493,87.27608718192143,87.27608718192143,300.67740159505837,300.22078541848913,8.932952693511444e-05,87.27608879841151
43,17:24:58,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,13.928509994605069,13.928509994605069,86.0714884219374,86.0714884219374,300.6758818570821,300.2199564259589,7.300250599668065e-05,86.07149000539493
44,17:24:59,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,15.39836732518369,15.398367325183688,84.60163113125596,84.60163113125596,300.674724003229,300.2191312821234,5.848003643398614e-05,84.60163267481632
45,17:25:00,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,17.221483290672317,17.221483290672317,82.77851521474207,82.77851521474207,300.6736802715249,300.2183100948017,4.573911428364066e-05,82.77851670932768
46,17:25:01,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,19.526018176979754,19.526018176979754,80.47398038966743,80.47398038966743,300.6726726763532,300.2174928818217,3.475106135410884e-05,80.47398182302024
47,17:25:02,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,22.50302859815455,22.50302859815455,77.49697004663895,77.49697004663895,300.6716793322898,300.2166796348444,2.547930365721043e-05,77.49697140184546
48,17:25:03,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,26.442628207126962,26.442628207126962,73.5573705396063,73.5573705396063,300.6706881070392,300.21587033662945,1.787593056256565e-05,73.55737179287304
49,17:25:04,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,31.786003144821116,31.786003144821102,68.2139957376492,68.2139957376492,300.6696833247807,300.2150649621419,1.1876185979393608e-05,68.21399685517889
50,17:25:05,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,39.17100353263051,39.17100353263049,60.82899553259899,60.82899553259899,300.6686454210562,300.21426347538977,7.389414070411905e-06,60.82899646736949
51,17:25:06,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,49.32529764846609,49.32529764846527,50.6747016578467,50.6747016578467,300.6673965509603,300.21346581378936,4.284204974712454e-06,50.67470235153391
52,17:25:07,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,62.27366034790445,62.27366034790398,37.726339243966386,37.726339243966386,300.67623082626466,300.21267534172614,2.366296312678338e-06,37.72633965209555
53,17:25:08,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,75.37692157731293,75.37692157731385,24.62307826488326,24.62307826488326,300.64079770019526,300.21188356347864,1.3585175709096731e-06,24.623078422687072
54,17:25:09,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,83.78022407900771,83.7802240790086,16.219775886190405,16.219775886190405,300.67045726712945,300.21109866549614,9.169891262493057e-07,16.21977592099229
55,17:25:10,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,85.33907280036443,85.3390728003646,14.660927193063674,14.660927193063674,300.6633716345802,300.210316107428,5.839891262493059e-07,14.660927199635566
56,17:25:11,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,85.50740025069365,85.50740025069369,14.492599748064098,14.492599748064098,300.6626128677524,300.2095374482649,2.509891262493061e-07,14.49259974930635
57,17:25:12,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,85.52604627270587,85.52604627270587,14.47395372705945,14.47395372705945,300.661849665199,300.20876268124675,-8.201087375069364e-08,14.47395372729413
58,17:25:13,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,85.52849568254993,85.52849568254993,14.471504317405756,14.471504317405756,300.66108936310945,300.20799178491046,-4.1501087375069343e-07,14.471504317450067
59,17:25:14,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,85.52919685481653,85.52919685481653,14.470803145175095,14.470803145175095,300.66033276081606,300.2072247397008,-7.480108737506932e-07,14.470803145183467
60,17:25:15,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,85.52970790878476,85.52970790878476,14.470292091213658,14.470292091213658,300.65957992764197,300.20646152635544,-1.081010873750693e-06,14.470292091215242
61,17:25:16,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,85.53019634890725,85.53019634890725,14.469803651092446,14.469803651092446,300.65883085419654,300.20570212572926,-1.4140108737506928e-06,14.469803651092747
62,17:25:17,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,85.53068018526913,85.53068018526913,14.469319814730817,14.469319814730817,300.658085522712,300.2049465187752,-1.7470108737506928e-06,14.469319814730866
63,17:25:18,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,85.53116136413065,85.53116136413065,14.468838635869334,14.468838635869334,300.6573439146038,300.2041946865415,-2.0800108737506926e-06,14.468838635869346
64,17:25:19,1.667e-06,100.0,100.0,333.0,0.0,300.0,0.001,85.53164010552045,85.53164010552045,14.468359894479537,14.468359894479537,300.65660601128315,300.20344661017106,-2.4130108737506922e-06,14.46835989447955
