Serial_No,Time,Fin,Ca0,Cb0,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,01:56:22,0.02,100.0,100.0,293.0,0.0,293.0,0.01,96.9313826261034,96.9313826261034,3.0686173739364344,3.0686173739364344,293.0366949491868,293.0000539154445,1.0,3.0686173738966005
2,01:56:22,0.02,100.0,100.0,293.0,0.0,293.0,0.01,94.15600778519709,94.15600778519709,5.843992214841167,5.843992214841167,293.0698622516783,293.00020163100106,1.0,5.84399221480291
3,01:56:23,0.02,100.0,100.0,293.0,0.0,293.0,0.01,91.64197425788964,91.64197425788964,8.35802574214712,8.35802574214712,293.09988628519096,293.0004245109772,1.0,8.358025742110357
4,01:56:24,0.02,100.0,100.0,293.0,0.0,293.0,0.01,89.36146519168695,89.36146519168695,10.638534808348371,10.638534808348371,293.1271022417033,293.0007067626802,1.0,10.638534808313054
5,01:56:25,0.02,100.0,100.0,293.0,0.0,293.0,0.01,87.29013026786734,87.29013026786734,12.709869732166599,12.709869732166599,293.1518035588475,293.0010350295026,1.0,12.709869732132658
6,01:56:26,0.02,100.0,100.0,293.0,0.0,293.0,0.01,85.40657590230431,85.40657590230431,14.593424097728294,14.593424097728294,293.1742480532394,293.0013980430058,1.0,14.59342409769569
7,01:56:27,0.02,100.0,100.0,293.0,0.0,293.0,0.01,83.69194224505401,83.69194224505401,16.308057754977327,16.308057754977327,293.1946630106974,293.0017863249197,1.0,16.30805775494599
8,01:56:28,0.02,100.0,100.0,293.0,0.0,293.0,0.01,82.1295503347036,82.1295503347036,17.87044966532651,17.87044966532651,293.2132494332087,293.00219193150957,1.0,17.870449665296405
9,01:56:29,0.02,100.0,100.0,293.0,0.0,293.0,0.01,80.70460627837532,80.70460627837532,19.295393721653603,19.295393721653603,293.23018560031863,293.0026082340054,1.0,19.295393721624677
10,01:56:30,0.02,100.0,100.0,293.0,0.0,293.0,0.01,79.40395203810473,79.40395203810473,20.596047961923066,20.596047961923066,293.2456300700937,293.0030297298021,1.0,20.596047961895266
11,01:56:31,0.02,100.0,100.0,293.0,0.0,293.0,0.01,78.21585450688546,78.21585450688546,21.784145493141256,21.784145493141256,293.25972421957107,293.0034518799781,1.0,21.784145493114536
12,01:56:32,0.02,100.0,100.0,293.0,0.0,293.0,0.01,77.12982619912839,77.12982619912839,22.870173800897295,22.870173800897295,293.27259440489917,293.003870969367,1.0,22.870173800871612
13,01:56:33,0.02,100.0,100.0,293.0,0.0,293.0,0.01,76.13647216931346,76.13647216931346,23.863527830711206,23.863527830711206,293.2843538058976,293.00428398599166,1.0,23.863527830686536
14,01:56:34,0.02,100.0,100.0,293.0,0.0,293.0,0.01,75.22735879061052,75.22735879061052,24.772641209413173,24.772641209413173,293.2951040075401,293.0046885171482,1.0,24.772641209389477
15,01:56:35,0.02,100.0,100.0,293.0,0.0,293.0,0.01,74.3949008335544,74.3949008335544,25.605099166468367,25.605099166468367,293.3049363611559,293.0050826598248,1.0,25.605099166445598
16,01:56:36,0.02,100.0,100.0,293.0,0.0,293.0,0.01,73.63226393000625,73.63226393000625,26.367736070015635,26.367736070015635,293.31393316039515,293.0054649434812,1.0,26.367736069993754
17,01:56:37,0.02,100.0,100.0,293.0,0.0,293.0,0.01,72.9332800251158,72.9332800251158,27.06671997490522,27.06671997490522,293.3221686607885,293.00583426349453,1.0,27.066719974884197
18,01:56:38,0.02,100.0,100.0,293.0,0.0,293.0,0.01,72.29237383706483,72.29237383706483,27.707626162955375,27.707626162955375,293.32970996671827,293.0061898238184,1.0,27.707626162935174
19,01:56:39,0.02,100.0,100.0,293.0,0.0,293.0,0.01,71.70449868204689,71.70449868204689,28.29550131797253,28.29550131797253,293.3366178055618,293.0065310876071,1.0,28.29550131795311
20,01:56:40,0.02,100.0,100.0,293.0,0.0,293.0,0.01,71.16508029654118,71.16508029654118,28.834919703477475,28.834919703477475,293.34294720546734,293.00685773472884,1.0,28.834919703458823
21,01:56:41,0.02,100.0,100.0,293.0,0.0,293.0,0.01,70.66996751319412,70.66996751319412,29.330032486823804,29.330032486823804,293.34874809052593,293.00716962524064,1.0,29.33003248680588
