Serial_No,Time,Fin,Ca0,Cb0,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,01:46:29,0.02,100.0,100.0,293.0,0.0,293.0,0.01,96.9313826261034,96.9313826261034,3.0686173739364344,3.0686173739364344,293.0366949491868,293.0000539154445,1.0,3.0686173738966005
2,01:46:30,0.02,100.0,100.0,293.0,0.0,293.0,0.01,94.15600778519709,94.15600778519709,5.843992214841167,5.843992214841167,293.0698622516783,293.00020163100106,1.0,5.84399221480291
3,01:46:31,0.02,100.0,100.0,293.0,0.0,293.0,0.01,91.64197425788964,91.64197425788964,8.35802574214712,8.35802574214712,293.09988628519096,293.0004245109772,1.0,8.358025742110357
4,01:46:33,0.02,100.0,100.0,293.0,0.0,293.0,0.01,89.36146519168695,89.36146519168695,10.638534808348371,10.638534808348371,293.1271022417033,293.0007067626802,1.0,10.638534808313054
5,01:46:34,0.02,100.0,100.0,293.0,0.0,293.0,0.01,87.29013026786734,87.29013026786734,12.709869732166599,12.709869732166599,293.1518035588475,293.0010350295026,1.0,12.709869732132658
6,01:46:35,0.02,100.0,100.0,293.0,0.0,293.0,0.01,85.40657590230431,85.40657590230431,14.593424097728294,14.593424097728294,293.1742480532394,293.0013980430058,1.0,14.59342409769569
7,01:46:36,0.02,100.0,100.0,293.0,0.0,293.0,0.01,83.69194224505401,83.69194224505401,16.308057754977327,16.308057754977327,293.1946630106974,293.0017863249197,1.0,16.30805775494599
8,01:46:37,0.02,100.0,100.0,293.0,0.0,293.0,0.01,82.1295503347036,82.1295503347036,17.87044966532651,17.87044966532651,293.2132494332087,293.00219193150957,1.0,17.870449665296405
9,01:46:38,0.02,100.0,100.0,293.0,0.0,293.0,0.01,80.70460627837532,80.70460627837532,19.295393721653603,19.295393721653603,293.23018560031863,293.0026082340054,1.0,19.295393721624677
10,01:46:39,0.02,100.0,100.0,293.0,0.0,293.0,0.01,79.40395203810473,79.40395203810473,20.596047961923066,20.596047961923066,293.2456300700937,293.0030297298021,1.0,20.596047961895266
11,01:46:40,0.02,100.0,100.0,293.0,0.0,293.0,0.01,78.21585450688546,78.21585450688546,21.784145493141256,21.784145493141256,293.25972421957107,293.0034518799781,1.0,21.784145493114536
12,01:46:41,0.02,100.0,100.0,293.0,0.0,293.0,0.01,77.12982619912839,77.12982619912839,22.870173800897295,22.870173800897295,293.27259440489917,293.003870969367,1.0,22.870173800871612
13,01:46:42,0.02,100.0,100.0,293.0,0.0,293.0,0.01,76.13647216931346,76.13647216931346,23.863527830711206,23.863527830711206,293.2843538058976,293.00428398599166,1.0,23.863527830686536
14,01:46:43,0.02,100.0,100.0,293.0,0.0,293.0,0.01,75.22735879061052,75.22735879061052,24.772641209413173,24.772641209413173,293.2951040075401,293.0046885171482,1.0,24.772641209389477
15,01:46:44,0.02,100.0,100.0,293.0,0.0,293.0,0.01,74.3949008335544,74.3949008335544,25.605099166468367,25.605099166468367,293.3049363611559,293.0050826598248,1.0,25.605099166445598
16,01:46:45,0.02,100.0,100.0,293.0,0.0,293.0,0.01,73.63226393000625,73.63226393000625,26.367736070015635,26.367736070015635,293.31393316039515,293.0054649434812,1.0,26.367736069993754
17,01:46:46,0.02,100.0,100.0,293.0,0.0,293.0,0.01,72.9332800251158,72.9332800251158,27.06671997490522,27.06671997490522,293.3221686607885,293.00583426349453,1.0,27.066719974884197
18,01:46:47,0.02,100.0,100.0,293.0,0.0,293.0,0.01,72.29237383706483,72.29237383706483,27.707626162955375,27.707626162955375,293.32970996671827,293.0061898238184,1.0,27.707626162935174
19,01:46:48,0.02,100.0,100.0,293.0,0.0,293.0,0.01,71.70449868204689,71.70449868204689,28.29550131797253,28.29550131797253,293.3366178055618,293.0065310876071,1.0,28.29550131795311
20,01:46:49,0.02,100.0,100.0,293.0,0.0,293.0,0.01,71.16508029654118,71.16508029654118,28.834919703477475,28.834919703477475,293.34294720546734,293.00685773472884,1.0,28.834919703458823
21,01:46:50,0.02,100.0,100.0,293.0,0.0,293.0,0.01,70.66996751319412,70.66996751319412,29.330032486823804,29.330032486823804,293.34874809052593,293.00716962524064,1.0,29.33003248680588
22,01:46:51,0.02,100.0,100.0,293.0,0.0,293.0,0.01,70.21538883051073,70.21538883051073,29.784611169506494,29.784611169506494,293.3540658048934,293.0074667680234,1.0,29.784611169489267
23,01:46:52,0.02,100.0,100.0,293.0,0.0,293.0,0.01,69.79791406793713,69.79791406793713,30.202085932079424,30.202085932079424,293.35894157559534,293.0077492938856,1.0,30.20208593206287
24,01:46:53,0.02,100.0,100.0,293.0,0.0,293.0,0.01,69.41442042300585,69.41442042300585,30.58557957701004,30.58557957701004,293.36341292224347,293.0080174325354,1.0,30.58557957699415
25,01:46:54,0.02,100.0,100.0,293.0,0.0,293.0,0.01,69.06206235096147,69.06206235096147,30.93793764905379,30.93793764905379,293.3675140206451,293.00827149290274,1.0,30.93793764903853
26,01:46:55,0.02,100.0,100.0,293.0,0.0,293.0,0.01,68.7382447736323,68.7382447736323,31.261755226382345,31.261755226382345,293.37127602624713,293.00851184636076,1.0,31.2617552263677
27,01:46:56,0.02,100.0,100.0,293.0,0.0,293.0,0.01,68.4405991964303,68.4405991964303,31.55940080358378,31.55940080358378,293.3747273624889,293.00873891245664,1.0,31.559400803569705
28,01:46:57,0.02,100.0,100.0,293.0,0.0,293.0,0.01,68.16696237279059,68.16696237279059,31.83303762722293,31.83303762722293,293.3778939784111,293.00895314681316,1.0,31.83303762720941
29,01:46:58,0.02,100.0,100.0,293.0,0.0,293.0,0.01,67.91535720616527,67.91535720616527,32.08464279384772,32.08464279384772,293.3807995792563,293.009155030906,1.0,32.08464279383473
30,01:46:59,0.02,100.0,100.0,293.0,0.0,293.0,0.01,67.68397562252851,67.68397562252851,32.31602437748398,32.31602437748398,293.3834658332804,293.00934506346204,1.0,32.31602437747149
31,01:47:00,0.02,100.0,100.0,293.0,0.0,293.0,0.01,67.47116318259377,67.47116318259377,32.528836817418224,32.528836817418224,293.3859125575592,293.0095237532559,1.0,32.52883681740623
32,01:47:01,0.02,100.0,100.0,293.0,0.0,293.0,0.01,67.27540523369484,67.27540523369484,32.72459476631668,32.72459476631668,293.3881578852017,293.009691613112,1.0,32.72459476630516
33,01:47:02,0.02,100.0,100.0,293.0,0.0,293.0,0.01,67.09531442745154,67.09531442745154,32.90468557255952,32.90468557255952,293.3902184160693,293.0098491549449,1.0,32.90468557254846
34,01:47:03,0.02,100.0,100.0,293.0,0.0,293.0,0.01,66.92961945167474,66.92961945167474,33.07038054833589,33.07038054833589,293.3921093528283,293.00999688569095,1.0,33.07038054832526
35,01:47:04,0.02,100.0,100.0,293.0,0.0,293.0,0.01,66.7771548440796,66.7771548440796,33.222845155930614,33.222845155930614,293.39384462393457,293.01013530400627,1.0,33.222845155920396
36,01:47:05,0.02,100.0,100.0,293.0,0.0,293.0,0.01,66.63685177178054,66.63685177178054,33.363148228229285,33.363148228229285,293.3954369949509,293.01026489761955,1.0,33.36314822821946
37,01:47:06,0.02,100.0,100.0,293.0,0.0,293.0,0.01,66.5077296746584,66.5077296746584,33.49227032535103,33.49227032535103,293.3968981694271,293.0103861412452,1.0,33.49227032534159
38,01:47:07,0.02,100.0,100.0,293.0,0.0,293.0,0.01,66.38888868287216,66.38888868287216,33.6111113171369,33.6111113171369,293.3982388804268,293.0104994949736,1.0,33.611111317127836
39,01:47:08,0.02,100.0,100.0,293.0,0.0,293.0,0.01,66.27950272932527,66.27950272932527,33.720497270683445,33.720497270683445,293.39946897365655,293.0106054030664,1.0,33.72049727067473
40,01:47:09,0.02,100.0,100.0,293.0,0.0,293.0,0.01,66.17881328703862,66.17881328703862,33.821186712969755,33.821186712969755,293.4005974830443,293.0107042930951,1.0,33.82118671296138
41,01:47:10,0.02,100.0,100.0,293.0,0.0,293.0,0.01,66.0861236693303,66.0861236693303,33.91387633067775,33.91387633067775,293.4016326995165,293.0107965753687,1.0,33.913876330669694
42,01:47:11,0.02,100.0,100.0,293.0,0.0,293.0,0.01,66.00079383763173,66.00079383763173,33.99920616237602,33.99920616237602,293.40258223364106,293.0108826426036,1.0,33.99920616236827
43,01:47:12,0.02,100.0,100.0,293.0,0.0,293.0,0.01,65.92223566782492,65.92223566782492,34.07776433218254,34.07776433218254,293.4034530727292,293.0109628697956,1.0,34.07776433217508
