Serial_No,Time,Fin,Ca0,Cb0,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,17:35:36,0.0005,1000.9,1200,333,0,300,0.001,80.091010414566,113.81877593278807,172.5224682467556,172.5224682467556,333.7117972750692,300.01989973942244,0.0028961253479432396,91.99810066794225
2,17:35:37,0.0005,1000.9,1200,333,0,300,0.001,63.605898481064,122.06196695467945,300.89973580771897,300.89973580771897,334.2346867899076,300.0400603442321,0.0032849480125845586,93.64512953531182
3,17:35:38,0.0005,1000.9,1200,333,0,300,0.001,52.287671561642995,129.60173261264032,397.5477746473807,397.5477746473807,334.60497728956534,300.0603712965583,0.003667038588211781,94.77593450278319
4,17:35:39,0.0005,1000.9,1200,333,0,300,0.001,44.232898410037805,136.37067322729382,472.6778052763623,472.6778052763623,334.8773242462808,300.0807584092302,0.004042866235028574,95.58068754021004
5,17:35:40,0.0005,1000.9,1200,333,0,300,0.001,38.283048614460725,142.3571063678426,532.6376868283439,532.6376868283439,335.08441697678245,300.10117342035824,0.004412825541889627,96.1751375147906
6,17:35:41,0.0005,1000.9,1200,333,0,300,0.001,33.74320573204861,147.61857551421983,581.5271129739983,581.5271129739983,335.24631879139565,300.12158370733624,0.00477725436881672,96.62871358456903
7,17:35:42,0.0005,1000.9,1200,333,0,300,0.001,30.182032791227844,152.23743411212072,622.1017988768474,622.1017988768474,335.3758598665137,300.1419664451827,0.005136446228028487,96.98451066128206
8,17:35:43,0.0005,1000.9,1200,333,0,300,0.001,27.3222268591164,156.29874157370062,656.2786870349157,656.2786870349157,335.48155437059654,300.16230519424244,0.005490659182384486,97.2702341033953
9,17:35:44,0.0005,1000.9,1200,333,0,300,0.001,24.97945139348707,159.88090106497586,685.4309748830415,685.4309748830415,335.56924024634844,300.18258782494684,0.005840122428235975,97.50430098976051
10,17:35:45,0.0005,1000.9,1200,333,0,300,0.001,23.027354688359576,163.05258102487454,710.5674533485262,710.5674533485262,335.64303670184256,300.20280520798696,0.006185041284420334,97.69933512954745
11,17:35:46,0.0005,1000.9,1200,333,0,300,0.001,21.376905815841454,165.8724582722349,732.4455105131862,732.4455105131862,335.7059238354506,300.2229503593902,0.0065256010517939856,97.86423160996688
12,17:35:47,0.0005,1000.9,1200,333,0,300,0.001,19.963805178963458,168.39009251724306,751.644643613665,751.644643613665,335.76010535008317,300.24301786555895,0.006861970052269976,98.0054146089556
13,17:35:48,0.0005,1000.9,1200,333,0,300,0.001,18.740583843999406,170.64715069544104,768.6156490815052,768.6156490815052,335.8072424632041,300.26300348618537,0.007194302058887258,98.12762675152369
14,17:35:49,0.0005,1000.9,1200,333,0,300,0.001,17.671506169576197,172.67864136509937,783.7143702909274,783.7143702909274,335.8486088947184,300.2829038734789,0.007522738265366305,98.23443838849273
15,17:35:50,0.0005,1000.9,1200,333,0,300,0.001,16.729196080469183,174.51402702609516,797.2253700194719,797.2253700194719,335.8851960894644,300.3027163694418,0.007847408901627,98.32858466575391
