Serial_No,Time,Fa,Fb,Ca_feed,Cb_feed,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa,Fin,Ca0_eff,Keq,k_f,k_r,rate_net
1,14:46:38,0.01,0.01,100.0,100.0,293.0,0.0,293.0,0.01,49.22140874183709,49.22140874183709,0.7785912581631635,0.7785912581631635,293.00931051503653,293.0000136141156,1.0,1.557182516325828,0.02,50.0,999.348,0.000323,0.0,0.782289
2,14:46:39,0.01,0.01,100.0,100.0,293.0,0.0,293.0,0.01,48.49632765955379,48.49632765955379,1.5036723404464547,1.5036723404464547,293.017975814703,293.0000514082315,1.0,3.007344680892421,0.02,50.0,998.7416,0.000323,0.0,0.759825
3,14:46:40,0.01,0.01,100.0,100.0,293.0,0.0,293.0,0.01,47.82078623037023,47.82078623037023,2.1792137696300093,2.1792137696300093,293.0260439717081,293.0001092530212,1.0,4.3584275392595355,0.02,50.0,998.1774,0.000323,0.0,0.739179
4,14:46:41,0.01,0.01,100.0,100.0,293.0,0.0,293.0,0.01,47.19114496703131,47.19114496703131,2.8088550329689177,2.8088550329689177,293.03355904708525,293.00018355398026,1.0,5.617710065937375,0.02,50.0,997.6521,0.000323,0.0,0.720182
5,14:46:42,0.01,0.01,100.0,100.0,293.0,0.0,293.0,0.01,46.60406338155454,46.60406338155454,3.3959366184456785,3.3959366184456785,293.04056147796695,293.0002711882582,1.0,6.791873236890922,0.02,50.0,997.163,0.000324,0.0,0.702684
6,14:46:43,0.01,0.01,100.0,100.0,293.0,0.0,293.0,0.01,46.056471573991416,46.056471573991416,3.943528426008789,3.943528426008789,293.0470884215699,293.0003694487093,1.0,7.887056852017171,0.02,50.0,996.7073,0.000324,0.0,0.686549
