Serial_No,Time,Fin,Ca0,Cb0,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,0,0.056000667,100,100,333,0,300,0.001,69.09662152142275,69.09662152142275,30.903377226095287,30.903377226095287,333.3045793551893,300.00990581204275,0.03037666844009434,30.903378478577253
2,1,0.056000667,100,100,333,0,300,0.001,56.2362436688828,56.2362436688828,43.763755680500054,43.763755680500054,333.4554298572502,300.01984843318365,0.05816745940665685,43.7637563311172
3,2,0.056000667,100,100,333,0,300,0.001,48.56580028655782,48.56580028655782,51.434199274525895,51.434199274525895,333.5460585365961,300.02979809399653,0.08589981127191779,51.43419971344218
4,3,0.056000667,100,100,333,0,300,0.001,43.36652181787681,43.366521817876816,56.63347785123947,56.63347785123947,333.607643789369,300.0397422151711,0.11358457346116585,56.633478182123184
5,4,0.056000667,100,100,333,0,300,0.001,39.55605120915159,39.5560512091516,60.44394852547646,60.44394852547646,333.65283736624065,300.04967427589366,0.1412281375858478,60.44394879084841
6,5,0.056000667,100,100,333,0,300,0.001,36.61251300052931,36.61251300052932,63.387486778054196,63.387486778054196,333.6877774861315,300.0595904307525,0.16883485722607242,63.38748699947069
7,6,0.056000667,100,100,333,0,300,0.001,34.25123559080836,34.25123559080836,65.7487642193043,65.7487642193043,333.71582249832284,300.0694882099288,0.1964079469098517,65.74876440919164
8,7,0.056000667,100,100,333,0,300,0.001,32.30269695173301,32.30269695173301,67.69730288209556,67.69730288209556,333.73897583293297,300.0793659288231,0.22394990699449166,67.69730304826699
9,8,0.056000667,100,100,333,0,300,0.001,30.659075681192764,30.659075681192764,69.34092417112015,69.34092417112015,333.7585132149567,300.0892223866812,0.25146275479817864,69.34092431880724
10,9,0.056000667,100,100,333,0,300,0.001,29.248187591159713,29.248187591159713,70.75181227596352,70.75181227596352,333.77528941956615,300.0990566988213,0.27894816275763945,70.7518124088403
11,10,0.056000667,100,100,333,0,300,0.001,28.019684363523318,28.019684363523318,71.9803155157314,71.9803155157314,333.7899010187048,300.1088681967609,0.3064075468346247,71.98031563647669
12,11,0.056000667,100,100,333,0,300,0.001,26.93725116903569,26.93725116903569,73.06274872033741,73.06274872033741,333.8027785101812,300.11865636549925,0.33384212609436814,73.06274883096431
13,12,0.056000667,100,100,333,0,300,0.001,25.97395433625743,25.97395433625743,74.02604556168302,74.02604556168302,333.8142413056207,300.1284208023789,0.36125296452881334,74.02604566374256
14,13,0.056000667,100,100,333,0,300,0.001,25.10934180669872,25.10934180669872,74.89065809858883,74.89065809858883,333.82453202741476,300.13816118910637,0.38864100140192215,74.89065819330128
15,14,0.056000667,100,100,333,0,300,0.001,24.327567259845743,24.327567259845743,75.67243265181165,75.67243265181165,333.8338387106534,300.1478772721313,0.41600707387669694,75.67243274015425
16,15,0.056000667,100,100,333,0,300,0.001,23.616137137845328,23.616137137845328,76.38386277938719,76.38386277938719,333.8423096400019,300.15756884852414,0.4433519342791932,76.38386286215467
17,16,0.056000667,100,100,333,0,300,0.001,22.96505030649625,22.96505030649625,77.03494961565644,77.03494961565644,333.8500635414101,300.16723575557785,0.47067626353145625,77.03494969350375
18,17,6.67e-07,100,100,333,0,300,0.001,18.716608229111742,18.716608229111742,81.28339169304101,81.28339169304101,333.8965965329633,300.17688424833864,0.4699907884112772,81.28339177088826
19,18,-5.333e-06,100,100,333,0,300,0.001,15.789688550860742,15.789688550860742,84.21031137129157,84.21031137129157,333.9273114823187,300.1865170860967,0.46930281414213104,84.21031144913925
20,19,-5.333e-06,100,100,333,0,300,0.001,13.651981529590294,13.651981529590294,86.34801839256157,86.34801839256157,333.9485777242392,300.1961306491963,0.46861534181917397,86.3480184704097
21,20,-5.333e-06,100,100,333,0,300,0.001,12.022719799086781,12.022719799086781,87.97728012306465,87.97728012306465,333.96375466874616,300.20572272062253,0.46792837144383315,87.97728020091321
22,21,-5.333e-06,100,100,333,0,300,0.001,10.74005286084405,10.74005286084405,89.25994706130693,89.25994706130693,333.9747789510037,300.2152918559037,0.46724190301753765,89.25994713915595
23,22,-5.333e-06,100,100,333,0,300,0.001,9.704165055524527,9.704165055524527,90.29583486662601,90.29583486662601,333.9828449695223,300.2248370709191,0.46655593654171873,90.29583494447547
24,23,-5.333e-06,100,100,333,0,300,0.001,8.85017468171443,8.85017468171443,91.14982524043566,91.14982524043566,333.9887291303181,300.2343576729446,0.46587047201780973,91.14982531828556
25,24,-5.333e-06,100,100,333,0,300,0.001,8.13409117117174,8.13409117117174,91.86590875097791,91.86590875097791,333.9929578643921,300.2438531626878,0.4651855094472461,91.86590882882825
26,25,-5.333e-06,100,100,333,0,300,0.001,7.525038638484057,7.525038638484057,92.47496128366514,92.47496128366514,333.99590067263085,300.25332317428916,0.4645010488314655,92.47496136151594
27,26,-5.333e-06,100,100,333,0,300,0.001,7.000710644168103,7.000710644168103,92.99928927798065,92.99928927798065,333.9978245107707,300.26276743689976,0.4638170901719075,92.99928935583189
